类别,子类别,英文情景对话,中文翻译
出行交通类,机场值机,"Emma: Good morning. I'd like to check in for flight CA981 to New York.
Jack: Good morning, ma'am. May I see your passport and ticket, please?
Emma: Here you are.
Jack: Thank you. How many pieces of luggage are you checking in?
Emma: Two pieces. Could I have a window seat, please?
Jack: Of course. Here are your boarding pass and baggage claim tags.
Emma: Thank you very much. Will my flight be on time?
Jack: I'm afraid there may be a one-hour delay due to the weather. Please listen for announcements.
Emma: Oh no, that's bad. Will it still depart today?
Jack: Yes, it will. The delay is about one hour.
Emma: Is my luggage overweight?
Jack: Let me check. It's 2 kg over, so there's an extra fee of 50 dollars.
Emma: Here's my card. Wait — I just heard on the news that the flight might be cancelled.
Jack: Let me check the system. I'm sorry, the flight has been cancelled due to the storm.
Emma: What? Then how do I get to New York?
Jack: Don't worry. We'll put you on the next available flight tomorrow morning at 9.
Emma: That's a long wait. Will the airline cover tonight's hotel?
Jack: Yes, we'll arrange a hotel near the airport and provide a meal voucher.
Emma: Thank you for your help.","艾玛：早上好，我想办理飞往纽约的CA981航班的登机手续。
杰克：早上好，女士。请出示您的护照和机票好吗？
艾玛：给您。
杰克：谢谢。您要托运几件行李？
艾玛：两件。请给我靠窗的座位好吗？
杰克：当然可以。这是您的登机牌和行李托运凭证。
艾玛：非常感谢。航班会准时起飞吗？
杰克：恐怕会因天气原因延误一小时左右，请留意广播通知。
艾玛：哎呀，那可糟了。今天还会飞吗？
杰克：会的，大约延误一小时。
艾玛：我的行李超重了吗？
杰克：我称一下。超重2公斤，需要补50美元。
艾玛：这是我的卡。等等——我刚听新闻说航班可能取消了。
杰克：我查一下系统。很抱歉，航班因暴风雨已经取消了。
艾玛：什么？那我怎么去纽约？
杰克：别担心，我们会把您安排到明天上午9点的下一班航班。
艾玛：那要等很久。航空公司会负责今晚的酒店吗？
杰克：会的，我们会安排机场附近的酒店，并提供餐券。
艾玛：谢谢你的帮助。"
出行交通类,海关边检,"Emma: Good afternoon. Here are my passport and boarding pass.
Jack: Good afternoon. What's the purpose of your visit?
Emma: I'm here on business.
Jack: How long will you be staying?
Emma: About two weeks.
Jack: Do you have anything to declare?
Emma: No, I have nothing to declare.
Jack: Please open this bag for a quick check.
Emma: Sure, no problem.
Jack: Ma'am, what's this in the sealed container?
Emma: Oh, that's some homemade sauce my mother packed for me.
Jack: I'm sorry, but meat and food products aren't allowed into the country.
Emma: Really? I had no idea. What will happen to it?
Jack: We'll have to confiscate it. Please declare any food next time.
Emma: I understand. Thank you for letting me know.
Jack: All clear. You can go. Have a nice stay.
Emma: Thank you very much.","艾玛：下午好。这是我的护照和登机牌。
杰克：下午好。您此行的目的是什么？
艾玛：我是来出差的。
杰克：您打算停留多长时间？
艾玛：大约两周。
杰克：您有需要申报的物品吗？
艾玛：没有，我没有需要申报的物品。
杰克：请打开这个包做一下快速检查。
艾玛：好的，没问题。
杰克：女士，这个密封罐里是什么？
艾玛：哦，那是我妈妈给我装的一些自制酱料。
杰克：抱歉，肉类和食品不允许入境。
艾玛：真的吗？我完全不知道。它会怎么处理？
杰克：我们必须没收。下次请务必申报任何食品。
艾玛：我明白了，谢谢您告诉我。
杰克：检查完毕，您可以走了，祝您在此愉快。
艾玛：非常感谢。"
出行交通类,火车站/高铁,"Emma: Hello. I'd like a ticket to Beijing, please.
Jack: Sure. Which one would you like, the high-speed train or the regular one?
Emma: The high-speed one, please. What time does the next train leave?
Jack: The next train leaves at 10:30 from Platform 6.
Emma: Great. Could I have a window seat?
Jack: Certainly. That'll be 230 yuan. Cash or card?
Emma: Card, please.
Jack: All right, here is your ticket. Have a good trip.
Emma: What if I miss the train?
Jack: You can change your ticket to a later one at the ticket office with a small fee.
Emma: Thanks. Oh, is the 10:30 train on time?
Jack: I'm sorry, there's an announcement — the train is delayed by 40 minutes.
Emma: That's frustrating. Do I still wait at Platform 6?
Jack: Actually, the platform has been changed to Platform 9. Please listen for updates.
Emma: Thank you for telling me.","艾玛：你好，我想买一张去北京的车票。
杰克：好的。您要坐高铁还是普通列车？
艾玛：高铁吧。下一班车几点发车？
杰克：下一班车10点30分从6号站台发车。
艾玛：太好了。能给我靠窗的座位吗？
杰克：当然。一共230元，现金还是刷卡？
艾玛：刷卡。
杰克：好的，这是您的车票，祝您旅途愉快。
艾玛：如果我错过了火车怎么办？
杰克：您可以到售票处改签晚一点的车次，只需支付少量手续费。
艾玛：谢谢。对了，10点半的车准点吗？
杰克：抱歉，刚有通知——列车晚点40分钟。
艾玛：真让人郁闷。我还在6号站台等吗？
杰克：其实站台已经改到9号了，请留意最新通知。
艾玛：谢谢您告诉我。"
出行交通类,地铁/轻轨,"Emma: Excuse me, which line goes to the airport?
Jack: You need Line 2, and then transfer to the airport line at Central Station.
Emma: Where can I buy a metro card?
Jack: There's a ticket machine over there. You can also scan your phone to pay.
Emma: How do I transfer to Line 2?
Jack: Just follow the signs after you get off. It's about a five-minute walk.
Emma: Is this the right direction for the city center?
Jack: Yes, the next stop is the city center.
Emma: My metro card is almost empty. Where can I top it up?
Jack: There's a top-up machine at the next station.
Emma: Actually, the card got stuck in the machine just now.
Jack: Let me see. Oh, the chip looks damaged. I can issue you a new one.
Emma: Will I lose the money on it?
Jack: No, I'll transfer the balance to the new card for you. It'll take two minutes.
Emma: That's a relief. Thank you.","艾玛：请问去机场坐哪条线？
杰克：您坐2号线，然后在中央车站换乘机场线。
艾玛：我在哪里可以买地铁卡？
杰克：那边有自动售票机，也可以用手机扫码支付。
艾玛：我该怎么换乘2号线？
杰克：下车后跟着指示牌走就行，大约步行五分钟。
艾玛：这是去市中心的方向吗？
杰克：是的，下一站就是市中心。
艾玛：我的地铁卡快没钱了，在哪里充值？
杰克：下一站有充值机。
艾玛：其实，刚才卡卡在机器里了。
杰克：我看看。哦，芯片好像坏了，我可以给您办一张新卡。
艾玛：卡里的钱会丢吗？
杰克：不会，我会把余额转到新卡上，大约两分钟。
艾玛：那就好，谢谢你。"
出行交通类,公交,"Emma: Excuse me, does this bus go to the train station?
Jack: No, this one goes downtown. You need Bus 27.
Emma: How much is the fare?
Jack: Two yuan. You can scan the QR code or pay in cash.
Emma: Could you tell me when to get off?
Jack: Sure. I'll let you know when we arrive.
Emma: Thank you.
Jack: You're welcome. Please take a seat.
Emma: Could you remind me when we get to the museum?
Jack: Sure, I'll call it out when we arrive.
Emma: Why are we stopping here? I need to catch the train at 3.
Jack: There's a bad accident ahead. The road is completely blocked.
Emma: Oh no, I'll never make it in time!
Jack: Don't panic. We'll detour in five minutes, or you can get off and take the metro.
Emma: I'll get off here and run to the metro. Thanks for your help.","艾玛：请问这路公交车到火车站吗？
杰克：不到，这路车去市中心，您要坐27路。
艾玛：车费多少钱？
杰克：两元，可以扫码也可以投币。
艾玛：到站时能告诉我一声吗？
杰克：好的，到站我会提醒您。
艾玛：谢谢。
杰克：不客气，请坐好。
艾玛：到博物馆时能提醒我一下吗？
杰克：好的，到站我会喊一声。
艾玛：我们怎么停在这里？我三点要赶火车。
杰克：前面出了严重事故，路完全堵死了。
艾玛：哎呀，我肯定赶不上了！
杰克：别慌，五分钟后我们会绕行，或者您可以下车去坐地铁。
艾玛：我就在这儿下车跑去地铁站。谢谢你的帮助。"
出行交通类,出租车/网约车,"Emma: Could you take me to this address, please?
Jack: No problem. Please get in.
Emma: How much will it cost to the airport?
Jack: About 120 yuan, plus the highway toll.
Emma: Okay. Is there a traffic jam ahead?
Jack: A little. But we'll still get there in about ten minutes.
Emma: Here we are. How much?
Jack: That'll be 150 yuan with the toll.
Emma: Wait, you said about 120 plus toll. The meter already shows 150.
Jack: I'm sorry, the toll was 30, and we hit the evening rush on the way.
Emma: That seems high. Could I have a receipt?
Jack: Of course. Here you go. Have a nice day.
Emma: Oh no, my phone charger is missing — it was on the back seat.
Jack: Wait, let me look. Yes, here it is, under the seat.
Emma: Thank goodness. Thanks so much.","艾玛：请带我去这个地址好吗？
杰克：没问题，请上车。
艾玛：去机场要多少钱？
杰克：大概120元，再加上高速费。
艾玛：好的。前面堵车吗？
杰克：有一点，不过大约十分钟还是能到。
艾玛：到了，多少钱？
杰克：加上高速费一共150元。
艾玛：等等，你说大概120加高速费。计价器已经显示150了。
杰克：抱歉，高速费30元，而且路上碰上了晚高峰。
艾玛：好像有点贵。能给我发票吗？
杰克：当然。给您，祝您愉快。
艾玛：哎呀，我的手机充电器不见了——刚才放在后座上。
杰克：等等，我找找。有的，在座位下面。
艾玛：谢天谢地。太感谢了。"
出行交通类,租车,"Emma: I'd like to rent a car for three days.
Jack: Sure. May I see your passport and driver's license?
Emma: Here you are. Do you have automatic cars?
Jack: Yes, we do. What size would you prefer?
Emma: A compact one is fine. Where do I return the car?
Jack: You can return it to any of our branches. Full insurance is included.
Emma: Great. What's the daily rate?
Jack: It's 60 dollars a day. Please sign here.
Emma: What if the car breaks down on the road?
Jack: Call our 24-hour hotline, and we'll send a replacement car.
Emma: Hi, I'm back to return the car. Uh, there's a new scratch on the door.
Jack: Let me inspect it. Yes, this scratch looks new. Do you remember how?
Emma: I parked on a narrow street yesterday and someone must have hit it.
Jack: Since you have full insurance, you won't be charged. Just fill out this form.
Emma: Thank goodness. I was so worried.","艾玛：我想租三天车。
杰克：好的。请出示您的护照和驾照。
艾玛：给您。有自动挡的车吗？
杰克：有的。您想要什么车型？
艾玛：小型车就行。我在哪里还车？
杰克：您可以在我们任何一家门店还车，已含全险。
艾玛：好的。日租金多少钱？
杰克：每天60美元，请在这里签字。
艾玛：如果路上车坏了怎么办？
杰克：拨打我们的24小时热线，我们会派替换车辆。
艾玛：你好，我来还车。呃，车门上有一道新划痕。
杰克：我检查一下。是的，这道划痕看起来是新的。您记得怎么弄的吗？
艾玛：昨天我停在一条窄街上，肯定是被别人蹭到了。
杰克：因为您有全险，不需要您赔偿。请填这张表就行。
艾玛：谢天谢地，我刚才担心死了。"
出行交通类,轮渡,"Emma: How much is a one-way ticket to the island?
Jack: It's 25 yuan per person.
Emma: When does the last ferry leave?
Jack: The last ferry leaves at 6:30 p.m.
Emma: How long is the crossing?
Jack: About 40 minutes. Enjoy your trip!
Emma: Is the ferry cancelled when the weather is bad?
Jack: Only in strong winds. We'll make an announcement in advance.
Emma: Excuse me, I just heard the horn — is the crossing smooth today?
Jack: I'm sorry, but the last ferry has been cancelled. The wind just picked up.
Emma: What? Then how do I get back to the mainland tonight?
Jack: There's no boat tonight. The next one leaves tomorrow at 8 a.m.
Emma: But I have a meeting tomorrow morning!
Jack: You could try the high-speed catamaran on the south pier — it might still run.
Emma: Thank you, I'll head there right away.","艾玛：去那座岛的单程票多少钱？
杰克：每人25元。
艾玛：最后一班轮渡几点开？
杰克：最后一班下午6点30分开。
艾玛：航程要多久？
杰克：大约40分钟，祝您旅途愉快！
艾玛：天气不好时渡轮会停航吗？
杰克：只有大风天才会，我们会提前通知。
艾玛：请问，我刚听到汽笛——今天的航程正常吗？
杰克：很抱歉，最后一班轮渡已经取消了，风刚刚变大。
艾玛：什么？那我今晚怎么回大陆？
杰克：今晚没有船了，下一班明早8点开。
艾玛：可我明天上午还有个会议！
杰克：您可以去南码头试试高速双体船——这种风下它可能还会开。
艾玛：谢谢你，我这就过去。"
住宿酒店类,酒店入住,"Emma: Hello. I have a reservation under the name of Li.
Jack: Good evening. Could I see your passport, please?
Emma: Here you are.
Jack: Thank you. Let me pull up your reservation. I'm sorry, ma'am, we seem to have overbooked.
Emma: What do you mean? I booked a room two weeks ago!
Jack: I'm very sorry. Our system double-booked. We'll move you to our partner hotel next door.
Emma: Will it cost me more?
Jack: No, same rate, and we'll cover the taxi. Here's a free breakfast voucher as an apology.
Emma: I hope so. Also, could I have a room with a sea view?
Jack: Let me check. Yes, we have one on the 15th floor of the partner hotel.
Emma: Thank you. What time is breakfast at the new hotel?
Jack: Breakfast is served from 7 to 10 a.m. You're all set. Here's your new room key.
Emma: Okay, thank you for arranging it.","艾玛：你好，我用李这个名字预订了房间。
杰克：晚上好，请出示您的护照好吗？
艾玛：给您。
杰克：谢谢。我查一下您的预订。很抱歉，女士，我们好像超售了。
艾玛：什么意思？我两周前就订房了！
杰克：非常抱歉，我们系统重复预订了。我们把您安排到隔壁的合作酒店。
艾玛：会多收钱吗？
杰克：不会，价格一样，出租车费我们承担。这是一份免费早餐券，表示歉意。
艾玛：好吧。另外，能给我一间海景房吗？
杰克：我查一下。有的，合作酒店15楼还有一间海景房。
艾玛：谢谢。新酒店的早餐几点？
杰克：早餐7点到10点供应。您都安排好了，这是新的房卡。
艾玛：好的，谢谢你的安排。"
住宿酒店类,酒店退房,"Emma: Good morning. I'd like to check out, please.
Jack: Good morning. Could I have your room key, please?
Emma: Here it is. Could I have the bill, please?
Jack: Certainly. That'll be 1,650 yuan in total.
Emma: Wait, I only stayed two nights. Shouldn't it be 1,100?
Jack: Let me check. Ah, there's a charge of 550 for minibar drinks.
Emma: But I never touched the minibar! Could you double-check?
Jack: Of course. Let me call housekeeping. I'm so sorry, it was charged to the wrong room.
Emma: Thank you. That's a relief.
Jack: The corrected total is 1,100 yuan. How would you like to pay?
Emma: By card, please. Could I leave my luggage here? My train isn't until evening.
Jack: No problem. The luggage room is free of charge.
Emma: Could you call a taxi for me, please?
Jack: Sure, I'll call one right now. It'll be here in five minutes.","艾玛：早上好，我想办理退房。
杰克：早上好，请把房卡给我好吗？
艾玛：给您。请给我账单好吗？
杰克：好的，一共1650元。
艾玛：等等，我只住了两晚，应该是1100元才对吧？
杰克：我查一下。啊，有一笔550元的迷你吧饮品消费。
艾玛：可我根本没动过迷你吧！你能再核对一下吗？
杰克：当然。我打电话给客房部。非常抱歉，这是记到了错误的房间。
艾玛：谢谢，那就好。
杰克：修正后一共1100元。您怎么付款？
艾玛：刷卡。我能把行李寄存在这里吗？我的火车要晚上才开。
杰克：没问题，行李房是免费的。
艾玛：能帮我叫一辆出租车吗？
杰克：好的，我马上叫，五分钟后到。"
